MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
C92,82229,M82229,I-I STF CO A(-) 4THASLTAMPHIBBN(-),ONE NAVY DRIVE SGT HARPER HALL,NORFOLK VA,23521,16
C93,83261,M29300,"SITE SUPPORT (MARIETTA, GA) MARFORRES",1210 NAVAL FORCES COURT,MARIETTA GA,30069,16
C97,14616,null,PWST F BTRY 2DBN 14TH MARINES OKLAHOMA,5316 SOUTH DOUGLAS BLVD,OKLAHOMA CITY OK,73150,17
C98,14186,null,PWST WPNSCO 3DBN 24TH MARINES SPRINGFIELD,1110 NORTH FREMONT,SPRINGFIELD MO,65802,17
D07,80227,M80227,I-I STF G CO 2NDBN 25THMAR 4TH MARDIV,BLDG 3306 PICATINNY ARSENAL,PICATINNY NJ,07806,16
D08,14405,null,PWST CO C 4TH CEB LYNCHBURG,AFRC 314 GRAVES MILL ROAD,LYNCHBURG VA,24502,17
D10,85230,M85230,SITE SUPPORT (ST PAUL) 4TH LEBN FHG,6400 BLOOMINGTON RD,ST PAUL MN,55111,16
D13,84221,M84221,I-I STF WEAPONS CO 1STBN 23DMAR,4601 FAIRVIEW DR,AUSTIN TX,78731,16
D18,80223,M80223,I-I STF B CO 25THMAR 4THMARDIV (REIN),64 HARVEY RD SUITE 107 (AFRC),LONDONDERRY NH,03053,16
D19,84260,M84260,SITE SPT (EL PASO) 14THMAR 4THMARDIV,4810 POLLARD ST,EL PASO TX,79930,16
D33,14115,null,PWST C CO 1STBN 23D MARINES CORPUS CHRISTI,1430 DIMMIT DR SUITE 134,CORPUS CHRISTI TX,78419,17
D35,21611,M14551,H&S CO 4TH LSB 4TH MLG,3225 WILLOW PASS RD,CONCORD CA,94520,17
D46,80228,M80228,I-I STF F CO 2DBN 25THMAR,NMCRTC 251 RUDY CHASE DRIVE,GLENVILLE NY,12302,16
D47,26814,null,TRAINING BATTALION,120 MAIN ST,QUANTICO VA,22134,09
D50,14165,null,PWST C CO 1STBN 24TH MARINES LANSING,AFRC 3423 N. MARTIN LUTHER KING JR BLVD,LANSING MI,48906,17
D51,85223,M85223,I-I STF CO B 1STBN 24THMAR 4THMARDIV,3500 DOUGLAS STREET,SAGINAW MI,48601,16
D58,14168,null,PWST B CO 1STBN 24TH MARINES SAGINAW,AFRC 3500 DOUGLAS STREET,SAGINAW MI,48601,17
D59,85297,M85297,I-I STF GS AMMO PLT AMMO CO 4THSUPBN 4THMLG,PO BOX 19515 6700 SW TOPEKA BLVD BLDG 688,TOPEKA KS,66619,16
D67,14127,null,PWST 2DBN 23D MARINES PORT HUENEME,MCRTC 4832 PACIFIC ROAD,PORT HUENEME CA,93043,17
D70,80221,M80221,SITE SPT (PLAINVILLE CT) 25THMAR 4THMARDIV,1 LINSLEY DRIVE,PLAINVILLE CT,06062,16
D76,84283,M84283,I-I STF B CO 1STBN 23DMAR 4THMARDIV,1440 SWAN LAKE ROAD,BOSSIER CITY LA,71111,16
D79,22327,null,PWST/SITE SUPPORT PHOENIX AZ,AFRC 14063 W GILLESPIE ST,LUKE AFB AZ,85309,17
D82,14125,null,PWST G CO 2DBN 23D MARINES LOS ALAMITOS,4122 SARATOGA AVE BLDG 20 JFTB,LOS ALAMITOS CA,90720,17
